SEQN,RIDAGEYR,RIAGENDR
109263,2,Male
109264,13,Female
109265,2,Male
109266,29,Female
109267,21,Female
109268,18,Female
109269,2,Male
109270,11,Female
109271,49,Male
109272,0,Male
109273,36,Male
109274,68,Male
109275,6,Male
109276,0,Male
109277,12,Female
109278,6,Female
109279,17,Female
109280,2,Female
109281,0,Female
109282,76,Male
109283,52,Male
109284,44,Female
109285,16,Male
109286,33,Female
109287,11,Female
109288,5,Male
109289,2,Male
109290,68,Female
109291,42,Female
109292,58,Male
109293,44,Male
109294,0,Female
109295,54,Female
109296,10,Male
109297,30,Female
109298,68,Male
109299,4,Female
109300,54,Female
109301,6,Female
109302,11,Female
109303,18,Male
109304,9,Female
109305,55,Male
109306,2,Male
109307,47,Male
109308,1,Male
109309,5,Male
109310,8,Male
109311,36,Female
109312,48,Female
109313,63,Male
109314,0,Male
109315,30,Female
109316,62,Female
109317,28,Female
109318,5,Female
109319,22,Male
109320,11,Female
109321,19,Female
109322,45,Female
109323,22,Male
109324,49,Female
109325,7,Male
109326,44,Female
109327,58,Female
109328,2,Male
109329,0,Male
109330,76,Male
109331,19,Female
109332,33,Male
109333,41,Female
109334,54,Female
109335,55,Female
109336,35,Male
109337,48,Female
109338,10,Female
109339,14,Male
109340,44,Male
109341,5,Female
109342,43,Female
109343,69,Male
109344,1,Male
109345,0,Male
109346,23,Female
109347,2,Male
109348,63,Female
109349,47,Female
109350,59,Male
109351,58,Male
109352,10,Male
109353,46,Female
109354,66,Female
109355,1,Female
109356,1,Female
109357,0,Female
109358,14,Female
109359,24,Male
109360,14,Female
109361,17,Male
109362,3,Female
109363,29,Male
109364,8,Female
109365,49,Female
109366,10,Female
109367,80,Male
109368,15,Female
109369,80,Female
109370,4,Male
109371,62,Male
109372,13,Female
109373,30,Female
109374,5,Male
109375,2,Male
109376,23,Male
109377,41,Male
109378,36,Male
109379,66,Female
109380,15,Male
109381,13,Male
109382,70,Female
109383,8,Male
109384,13,Female
109385,2,Female
109386,0,Male
109387,17,Female
109388,11,Female
109389,56,Male
109390,44,Female
109391,56,Female
109392,79,Male
109393,76,Male
109394,29,Female
109395,56,Male
109396,37,Female
109397,47,Female
109398,16,Female
109399,15,Female
109400,9,Male
109401,80,Female
109402,80,Male
109403,30,Male
109404,23,Female
109405,32,Female
109406,1,Female
109407,30,Male
109408,51,Male
109409,8,Female
109410,5,Female
109411,55,Female
109412,7,Female
109413,59,Female
109414,62,Female
109415,61,Female
109416,60,Male
109417,17,Male
109418,1,Female
109419,1,Female
109420,3,Male
109421,0,Female
109422,1,Female
109423,28,Female
109424,11,Male
109425,8,Male
109426,61,Female
109427,11,Female
109428,80,Male
109429,27,Male
109430,1,Female
109431,45,Female
109432,44,Female
109433,5,Male
109434,15,Male
109435,62,Male
109436,80,Male
109437,80,Female
109438,0,Female
109439,59,Female
109440,18,Male
109441,20,Female
109442,2,Male
109443,1,Male
109444,21,Male
109445,11,Male
109446,12,Male
109447,25,Female
109448,0,Male
109449,13,Male
109450,29,Male
109451,37,Male
109452,1,Male
109453,7,Male
109454,25,Female
109455,40,Male
109456,13,Male
109457,76,Male
109458,18,Male
109459,32,Male
109460,80,Female
109461,8,Female
109462,0,Male
109463,0,Male
109464,30,Male
109465,17,Male
109466,40,Male
109467,21,Male
109468,60,Male
109469,3,Male
109470,1,Female
109471,14,Male
109472,34,Male
109473,19,Male
109474,80,Female
109475,9,Male
109476,8,Female
109477,6,Female
109478,27,Female
109479,17,Male
109480,30,Male
109481,60,Male
109482,48,Female
109483,76,Female
109484,3,Female
109485,47,Female
109486,65,Male
109487,0,Male
109488,40,Male
109489,80,Male
109490,77,Male
109491,0,Female
109492,9,Male
109493,8,Male
109494,5,Female
109495,52,Male
109496,50,Male
